--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
250   0.004         4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
251   -0.001        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
252   0.001         4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
253   -0.001        4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
254   -0.001        4.2e-02   0.669        1.2e-02   0.000    1.5e-01   
255   0.001         4.2e-02   0.667        1.2e-02   -0.000   1.5e-01   
256   -0.001        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
257   0.001         4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
258   -0.000        4.2e-02   0.668        1.2e-02   0.002    1.5e-01   
259   0.001         4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
260   -0.001        4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
261   -0.000        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
262   0.000         4.3e-02   0.667        1.2e-02   0.002    1.5e-01   
263   -0.000        4.3e-02   0.666        1.2e-02   -0.002   1.5e-01   
264   0.000         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
265   0.000         4.2e-02   0.668        1.3e-02   -0.001   1.5e-01   
266   -0.000        4.3e-02   0.668        1.2e-02   0.001    1.5e-01   
267   -0.001        4.3e-02   0.668        1.2e-02   -0.003   1.5e-01   
268   0.002         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
269   -0.001        4.2e-02   0.667        1.2e-02   0.000    1.5e-01   
270   -0.000        4.2e-02   0.667        1.2e-02   -0.002   1.5e-01   
271   -0.001        4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
272   0.002         4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
273   -0.003        4.2e-02   0.665        1.2e-02   -0.000   1.5e-01   
274   0.004         4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
275   -0.003        4.2e-02   0.665        1.2e-02   -0.002   1.5e-01   
276   0.001         4.2e-02   0.667        1.2e-02   0.002    1.5e-01   
277   -0.003        4.2e-02   0.666        1.2e-02   -0.001   1.5e-01   
278   0.004         4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
279   -0.002        4.2e-02   0.668        1.2e-02   -0.000   1.5e-01   
280   0.002         4.2e-02   0.667        1.2e-02   -0.001   1.5e-01   
281   -0.002        4.2e-02   0.667        1.2e-02   0.001    1.5e-01   
282   0.002         4.2e-02   0.666        1.2e-02   -0.003   1.5e-01   
283   -0.001        4.2e-02   0.665        1.2e-02   0.005    1.5e-01   
284   0.000         4.2e-02   0.666        1.2e-02   -0.007   1.5e-01   
